,Muestras,Pha,Phme,TDSa,Phdif,Phmax,Phv,Phd,Alcohola,Phf,Co2max,Phmo,Co2dif,TDSmind,Co2d,Alcoholmax,Temp1dif,Alcoholdifd,Co2v,Alcoholdif,Alcoholmaxd,Temp1max,Temp1maxd,Temp2dif,Temp1a,Co2maxd,Temp1me,Co2difd,Alcoholi,Alcoholmin,Phdd,TDSf,Temp2f,Phvd,Alcoholf,Temp2min,TDSmaxd,TDSvd,TDSdifd,Temp2ad,TDSdd,Alcoholv,Alcohold,Co2f,TDSv,TDSd,Temp1ad,Alcoholad,TDSad,Co2ad,Phad,Sabor
0,1438,319.1646977,339,367.7533009,552,552,25486.04448,159.6434918,565.3766505,530,135,452,121,-95,26.96144019,664,2.39,26,726.919257,510,23,23.24,0.05,3.31,22.00696317,8,22.07,14,154,154,5.376781683,510,24.2,28.90978127,664,22.94,31,17.30217341,126,0.000701876,4.15958813,15672.98321,125.1917857,120,38486.36538,196.1794214,0.001660876,0.354412787,0.311327311,0.072272411,0.366921473,7.15
1,1422,300.4624034,309,386.2326072,518,518,21233.49771,145.717184,554.661279,517,126,245,106,-63,24.36667725,650,2.1,37,593.73496,431,34,22.62,0.05,3.1,21.98282502,3,22.14,6,219,219,4.621782733,501,22.96,21.36087563,648,22.48,27,15.83091723,90,0.000309206,3.978808519,12604.39433,112.2692938,124,27012.35584,164.3543606,0.001475755,0.301475755,0.274771609,0.073085032,0.363316936,7.2
2,1447,301.4671735,327,381.5245335,529,531,19330.59349,139.0345047,556.5231513,521,112,396,92,-21,23.08187164,650,2.12,37,532.7727984,430,34,22.78,0.07,2.48,21.9049067,2,22.01,4,220,220,5.50764153,507,24.59,30.33411522,650,22.5,20,7.828853707,41,0.000663442,2.798008883,12467.67979,111.6587649,112,29905.89272,172.9332031,0.0014651,0.297857636,0.281271596,0.06357982,0.359364202,7.2
3,1481,307.6916329,335,413.0526316,512,549,14283.96494,119.5155427,544.8569501,548,105,380,87,-76,21.46601774,613,1.54,5,460.7899175,299,3,22.98,0.05,2.62,22.31686235,2,22.4,5,314,314,6.404151987,478,25.14,41.01316268,611,22.8,21,13.69682784,97,0.000951417,3.700922565,9533.235431,97.63828876,103,22088.13362,148.6207712,0.001018893,0.200404858,0.240890688,0.056680162,0.344129555,7.25
4,2806,413.6348415,365,417.3031706,826,839,44940.73511,211.9922996,618.6726042,802,151,361,137,-14,30.10291257,695,4.03,83,906.1853454,618,80,23.08,0.07,4.96,21.89051657,5,21.86,9,77,77,4.154243917,508,24.55,17.25774252,668,21.18,15,2.509843404,29,0.001132882,1.58424853,14474.88101,120.3115997,127,33777.38453,183.7862469,0.001147132,0.210545066,0.169219808,0.040256502,0.281083007,7.35
5,2877,431.8766505,458,426.6820709,929,929,52893.05777,229.9849077,619.0319666,926,145,0,129,-14,30.31341124,692,3.73,74,918.9029009,606,70,22.99,0.06,4.52,21.31115358,6,21.29,12,86,86,4.247064797,524,26.99,18.03755939,667,22.6,17,2.890027857,31,0.000656706,1.700008193,14009.86759,118.3632865,137,26093.3146,161.5342521,0.001250869,0.201876303,0.166087561,0.042043085,0.321751216,7.4
6,2936,483.5097038,543,431.4344569,724,727,37107.43255,192.6328958,568.773919,695,154,565,107,-23,26.7798524,660,3.26,17,717.1604946,548,13,22.62,0.07,3.2,21.56099762,5,21.61,10,112,112,3.776493818,524,23.8,14.26190556,656,21.44,18,4.147693758,41,0.000439224,2.036588755,14636.18865,120.9801168,118,25450.50124,159.5321323,0.001109976,0.185223017,0.145726932,0.024174328,0.235614573,7.45
7,2835,435.038787,444,402.4425247,760,760,43604.76887,208.8175492,599.157969,758,150,349,107,-24,27.58870661,674,3.15,61,761.1367322,581,58,21.38,0.05,4.89,20.48489774,5,20.49,10,93,93,3.923743711,513,26.01,15.39576471,657,21.15,16,2.272570603,40,0.00104725,1.50750476,14218.33976,119.24068,122,26816.97483,163.7588924,0.00096615,0.19887165,0.162905501,0.027856135,0.259520451,7.5
8,4299,562.5773436,577,430.4438241,924,924,69412.13519,263.4618287,638.6645732,772,148,790,134,-6,28.1269325,705,4.37,98,791.1243319,636,92,23.77,0.05,4.7,22.18019772,8,22.19,13,69,69,4.152467335,499,24.44,17.24298497,646,21.82,25,2.876262847,31,0.000314027,1.695954848,9661.948421,98.29521057,52,19651.0389,140.1821633,0.000804838,0.134915097,0.109792975,0.008839265,0.176320074,7.75
9,4325,557.7588439,598,445.7387283,914,914,65057.99572,255.0646893,622.9715607,838,145,802,124,-5,29.22095327,684,4.3,73,853.8641102,597,69,23.56,0.09,4.63,22.18070289,3,22.21,6,87,87,2.056015156,484,23.31,4.227198323,634,19.81,11,1.783914273,16,0.000106358,1.335632537,9686.293132,98.41896734,64,15537.72867,124.6504259,0.000679769,0.126936416,0.098959538,0.009942197,0.193294798,7.75
10,4434,570.8752819,637.5,439.2119982,943,943,75594.74848,274.9449917,622.4555706,842,145,888,120,-5,25.15490719,681,3.86,64,632.7693559,592,62,23.56,0.06,4.61,22.1354894,5,22.12,9,89,89,4.144104135,477,22.21,17.17359908,640,20.77,12,1.729940117,17,0.000324763,1.315271879,9702.337863,98.500446,86,15422.15987,124.185989,0.000541272,0.125394677,0.091565178,0.01375733,0.183581416,7.75
11,4402,590.395502,643,446.4388914,924,925,55765.00851,236.1461592,629.5440709,887,145,654,111,-17,25.73852883,688,4.08,73,662.4718665,580,69,23.45,0.06,4.12,21.9265493,5,21.97,10,108,108,3.953538186,499,21.95,15.63046418,638,21.57,15,2.2319216,32,7.27E-05,1.493961713,8404.040434,91.67355362,76,15791.0934,125.6626174,0.000604271,0.120854157,0.094502499,0.009086779,0.201272149,7.75
12,5699,601.7882456,640,453.7229825,1029,1030,72682.67265,269.5972415,640.4903509,933,176,585,166,-5,34.15062688,726,4.06,114,1166.265317,669,111,24.11,0.11,4.16,23.06435263,18,23.14,24,57,57,3.83438534,476,21.24,14.70251094,589,21.2,13,1.856835795,18,-2.98E-05,1.362657622,7571.721086,87.01563702,46,13150.17399,114.6742081,0.000514035,0.093333333,0.075964912,0.005964912,0.163508772,8
13,5803,634.2835975,727,465.1104411,976,976,58170.01261,241.1846028,633.9870779,904,167,852,166,-5,50.27423572,686,3.86,84,2527.498778,587,52,23.95,0.09,4.65,23.14669194,6,23.27,10,99,99,4.461892007,493,20.18,19.90848029,618,20.18,13,1.924258027,18,-0.000323915,1.387176278,6863.612964,82.84692489,4,11844.47462,108.8323234,0.000652998,0.089421089,0.071330117,-0.00172295,0.153687112,8
14,5769,614.7180243,737,457.7126516,909,911,63229.09243,251.4539569,627.7844021,889,149,824,131,-12,34.91814419,682,3.14,50,1219.276794,549,46,23.86,0.05,3.45,23.1682461,5,23.25,10,133,133,3.579148529,485,24.67,12.81030419,618,21.77,9,1.64949892,21,0.000188908,1.284328198,6410.625376,80.06638106,21,11456.84999,107.0366759,0.0005026,0.084055459,0.068457539,0.000519931,0.15372617,8
15,5730,597.940499,675,456.1973478,935,935,58032.88669,240.9001592,630.2896528,867,170,797,151,-5,38.59927338,697,3.56,81,1489.903905,581,78,23.09,0.11,4.77,22.00332054,12,22,16,117,116,3.908632479,470,20.77,15.27740786,605,20.77,11,1.8237435,16,-9.95E-05,1.350460477,6168.635109,78.54065896,27,10375.43627,101.8598855,0.000403071,0.085150934,0.06857442,0.000872448,0.149712092,8
