,Temp2ad,TDSf,Temp2f,Alcohold,Co2f,Alcoholv,Alcoholf,TDSd,Co2min,Phmo,Temp1min,Temp1i,Temp1mo,Temp1max,Temp1a,Temp1me,residual
0,0.000701876,510,24.2,125.1917857,120,15672.98321,664,196.1794214,14,452,20.85,20.85,22.14,23.24,22.00696317,22.07,7.25
1,0.000309206,501,22.96,112.2692938,124,12604.39433,648,164.3543606,20,245,20.52,20.52,21.97,22.62,21.98282502,22.14,7.25
2,0.000663442,507,24.59,111.6587649,112,12467.67979,650,172.9332031,20,396,20.66,20.66,22.2,22.78,21.9049067,22.01,7.5
3,0.000951417,478,25.14,97.63828876,103,9533.235431,611,148.6207712,18,380,21.44,21.44,22.5,22.98,22.31686235,22.4,7.5
4,0.001132882,508,24.55,120.3115997,127,14474.88101,668,183.7862469,14,361,19.05,19.05,21.61,23.08,21.89051657,21.86,7.65
5,0.000656706,524,26.99,118.3632865,137,14009.86759,667,161.5342521,16,0,19.26,19.26,20.11,22.99,21.31115358,21.29,7.7
6,0.000439224,524,23.8,120.9801168,118,14636.18865,656,159.5321323,47,565,19.36,19.36,22.41,22.62,21.56099762,21.61,7.7
7,0.00104725,513,26.01,119.24068,122,14218.33976,657,163.7588924,43,349,18.23,18.24,20.53,21.38,20.48489774,20.49,7.75
8,0.000314027,499,24.44,98.29521057,52,9661.948421,646,140.1821633,14,790,19.4,19.4,21.75,23.77,22.18019772,22.19,7.5
9,0.000106358,484,23.31,98.41896734,64,9686.293132,634,124.6504259,21,802,19.26,19.26,21.77,23.56,22.18070289,22.21,7.4
10,0.000324763,477,22.21,98.500446,86,9702.337863,640,124.185989,25,888,19.7,19.7,21.78,23.56,22.1354894,22.12,7.3
11,7.27E-05,499,21.95,91.67355362,76,8404.040434,638,125.6626174,34,654,19.37,19.37,21.05,23.45,21.9265493,21.97,7.4
12,-2.98E-05,476,21.24,87.01563702,46,7571.721086,589,114.6742081,10,585,20.05,20.09,23.51,24.11,23.06435263,23.14,7.25
13,-0.000323915,493,20.18,82.84692489,4,6863.612964,618,108.8323234,1,852,20.09,20.11,23.41,23.95,23.14669194,23.27,7.25
14,0.000188908,485,24.67,80.06638106,21,6410.625376,618,107.0366759,18,824,20.72,20.74,22.75,23.86,23.1682461,23.25,7.2
15,-9.95E-05,470,20.77,78.54065896,27,6168.635109,605,101.8598855,19,797,19.53,19.6,21.69,23.09,22.00332054,22,7.25
