,Co2i,Co2min,Co2fd,Phme,Pha,TDSa,Phf,TDSmind,Muestras,Temp2min,Temp1f,Phvd,Temp1i,TDSd,Temp1min,TDSv,Temp2me,TDSdifd,Temp2a,Phad,Alcoholad,Co2ad,TDSvd,TDSdd,TDSad,Temp1ad,TDSmaxd,Pcatador
0,16,14,-2,339,319.1646977,367.7533009,530,-95,1438,22.94,23.24,28.90978127,20.85,196.1794214,20.85,38486.36538,24.28,126,24.46903405,0.366921473,0.354412787,0.072272411,17.30217341,4.15958813,0.311327311,0.001660876,31,7.3
1,20,20,-1,309,300.4624034,386.2326072,517,-63,1422,22.48,22.62,21.36087563,20.52,164.3543606,20.52,27012.35584,23.65,90,23.84854533,0.363316936,0.301475755,0.073085032,15.83091723,3.978808519,0.274771609,0.001475755,27,7.4
2,20,20,0,327,301.4671735,381.5245335,521,-21,1447,22.5,22.75,30.33411522,20.66,172.9332031,20.66,29905.89272,23.67,41,23.64949551,0.359364202,0.297857636,0.06357982,7.828853707,2.798008883,0.281271596,0.0014651,20,7.4
3,19,18,0,335,307.6916329,413.0526316,548,-76,1481,22.8,22.95,41.01316268,21.44,148.6207712,21.44,22088.13362,23.82,97,23.96330634,0.344129555,0.200404858,0.056680162,13.69682784,3.700922565,0.240890688,0.001018893,21,7.5
4,14,14,0,365,413.6348415,417.3031706,802,-14,2806,21.18,22.27,17.25774252,19.05,183.7862469,19.05,33777.38453,22.99,29,23.34781617,0.281083007,0.210545066,0.040256502,2.509843404,1.58424853,0.169219808,0.001147132,15,7.5
5,16,16,0,458,431.8766505,426.6820709,926,-14,2877,22.6,22.86,18.03755939,19.26,161.5342521,19.26,26093.3146,23.87,31,24.05314802,0.321751216,0.201876303,0.042043085,2.890027857,1.700008193,0.166087561,0.001250869,17,7.5
6,47,47,0,543,483.5097038,431.4344569,695,-23,2936,21.44,22.62,14.26190556,19.36,159.5321323,19.36,25450.50124,22.76,41,22.74482806,0.235614573,0.185223017,0.024174328,4.147693758,2.036588755,0.145726932,0.001109976,18,7.7
7,43,43,0,444,435.038787,402.4425247,758,-24,2835,21.15,20.98,15.39576471,18.24,163.7588924,18.23,26816.97483,22.84,40,22.89331453,0.259520451,0.19887165,0.027856135,2.272570603,1.50750476,0.162905501,0.00096615,16,7.75
8,14,14,0,577,562.5773436,430.4438241,772,-6,4299,21.82,22.86,17.24298497,19.4,140.1821633,19.4,19651.0389,23.71,31,23.79475692,0.176320074,0.134915097,0.008839265,2.876262847,1.695954848,0.109792975,0.000804838,25,7.5
9,21,21,0,598,557.7588439,445.7387283,838,-5,4325,19.81,22.2,4.227198323,19.26,124.6504259,19.26,15537.72867,22.28,16,22.17319769,0.193294798,0.126936416,0.009942197,1.783914273,1.335632537,0.098959538,0.000679769,11,7.55
10,25,25,0,637.5,570.8752819,439.2119982,842,-5,4434,20.77,22.1,17.17359908,19.7,124.185989,19.7,15422.15987,23.425,17,23.40050068,0.183581416,0.125394677,0.01375733,1.729940117,1.315271879,0.091565178,0.000541272,12,7.7
11,36,34,0,643,590.395502,446.4388914,887,-17,4402,21.57,22.09,15.63046418,19.37,125.6626174,19.37,15791.0934,23.555,32,23.56490459,0.201272149,0.120854157,0.009086779,2.2319216,1.493961713,0.094502499,0.000604271,15,7.7
12,12,10,0,640,601.7882456,453.7229825,933,-5,5699,21.2,23.02,14.70251094,20.09,114.6742081,20.05,13150.17399,23.39,18,23.28349298,0.163508772,0.093333333,0.005964912,1.856835795,1.362657622,0.075964912,0.000514035,13,7.5
13,14,1,0,727,634.2835975,465.1104411,904,-5,5803,20.18,23.9,19.90848029,20.11,108.8323234,20.09,11844.47462,23.52,18,23.35259993,0.153687112,0.089421089,-0.00172295,1.924258027,1.387176278,0.071330117,0.000652998,13,7.5
14,18,18,0,737,614.7180243,457.7126516,889,-12,5769,21.77,23.64,12.81030419,20.74,107.0366759,20.72,11456.84999,23.49,21,23.45586308,0.15372617,0.084055459,0.000519931,1.64949892,1.284328198,0.068457539,0.0005026,9,7.7
15,22,19,0,675,597.940499,456.1973478,867,-5,5730,20.77,21.91,15.27740786,19.6,101.8598855,19.53,10375.43627,22.71,16,22.76212005,0.149712092,0.085150934,0.000872448,1.8237435,1.350460477,0.06857442,0.000403071,11,7.7
